epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9702,2.19385,5.91547,1.45658,0,0,0,0,1.64666,5.67047,1.08121,0.0013,0.0013,0.0883
2,183.692,1.46907,5.72623,1.09561,0,0,0,0,1.58828,5.66838,1.07955,0.0026109,0.0026109,0.0756109
3,279.801,1.392,5.44937,1.02654,0,0,0,0,1.41454,5.48949,0.97995,0.0038294,0.0038294,0.0628294
4,370.44,1.38423,5.17762,1.01073,0.00236,0.00586,0.00162,0.00091,1.38314,5.31916,0.97743,0.0049555,0.0049555,0.0499555
5,462.79,1.4078,4.92663,1.00298,0.00668,0.02981,0.00658,0.00444,1.23325,5.11942,0.96209,0.0059892,0.0059892,0.0369892
6,554.699,1.38759,4.70453,1.02652,0.008,0.04675,0.01315,0.00863,1.34798,4.96702,1.00069,0.0069305,0.0069305,0.0239305
7,651.352,1.443,4.41391,1.0373,0.02098,0.09078,0.02606,0.01735,1.3641,4.68508,1.00074,0.0077794,0.0077794,0.0107794
8,744.016,1.45525,4.18506,1.01519,0.0185,0.1535,0.03485,0.02403,1.23542,4.09282,0.96936,0.00769,0.00769,0.00769
9,840.562,1.40189,3.93593,0.99378,0.32175,0.06922,0.05373,0.03725,1.27707,3.8019,0.98887,0.00736,0.00736,0.00736
10,937.813,1.4179,3.64431,1.02519,0.18936,0.10972,0.06415,0.04197,1.39035,3.67921,1.01319,0.00703,0.00703,0.00703
11,1034.08,1.36343,3.43142,1.00148,0.18291,0.13989,0.07377,0.05146,1.21911,3.39276,0.97321,0.0067,0.0067,0.0067
12,1130.12,1.39618,3.23369,1.00984,0.22463,0.15564,0.09382,0.06508,1.23197,3.15412,0.97903,0.00637,0.00637,0.00637
13,1223.94,1.35184,3.00274,1.01659,0.27163,0.13873,0.09963,0.06455,1.33631,3.27906,0.99911,0.00604,0.00604,0.00604
14,1314.92,1.34146,2.82896,0.99477,0.30553,0.14311,0.12224,0.08278,1.26717,3.10395,0.9931,0.00571,0.00571,0.00571
15,1404.25,1.30792,2.63973,0.99265,0.261,0.172,0.14381,0.10261,1.17563,2.85687,0.96163,0.00538,0.00538,0.00538
16,1496.58,1.3084,2.5482,0.99004,0.33203,0.17991,0.17362,0.12228,1.16405,2.78438,0.96027,0.00505,0.00505,0.00505
17,1585.74,1.28395,2.40011,0.969,0.29274,0.19586,0.18514,0.12425,1.26035,2.57035,0.98394,0.00472,0.00472,0.00472
18,1679.64,1.28137,2.33371,0.96431,0.29445,0.22226,0.20141,0.13676,1.23244,2.39467,0.9764,0.00439,0.00439,0.00439
19,1774.12,1.28183,2.25869,0.97734,0.30761,0.23019,0.21619,0.15589,1.1456,2.26585,0.96024,0.00406,0.00406,0.00406
20,1922.07,1.23038,2.20298,0.96395,0.30617,0.23704,0.24046,0.17369,1.12918,2.15847,0.95508,0.00373,0.00373,0.00373
21,2024.59,1.15995,2.03227,0.98646,0.40194,0.22489,0.24427,0.16739,1.18819,2.33921,0.96831,0.0034,0.0034,0.0034
22,2116.56,1.14451,1.95888,0.98348,0.36755,0.27907,0.2744,0.19566,1.13979,2.07179,0.95201,0.00307,0.00307,0.00307
23,2210.88,1.14091,1.84124,0.9764,0.36349,0.3014,0.28441,0.20189,1.14637,2.05749,0.95367,0.00274,0.00274,0.00274
24,2308.67,1.14963,1.78337,0.96688,0.39234,0.30223,0.30513,0.21709,1.1321,2.00468,0.95129,0.00241,0.00241,0.00241
25,2407.03,1.13524,1.72524,0.97447,0.47861,0.29621,0.32451,0.23032,1.14122,1.90643,0.95719,0.00208,0.00208,0.00208
26,2501.34,1.12681,1.68955,0.96376,0.49909,0.32679,0.34575,0.24394,1.12875,1.85059,0.94908,0.00175,0.00175,0.00175
27,2587.44,1.11294,1.63728,0.97291,0.50098,0.33372,0.35537,0.25137,1.11871,1.78517,0.94566,0.00142,0.00142,0.00142
28,2686,1.11266,1.60398,0.96451,0.51708,0.34407,0.36479,0.26043,1.10772,1.72047,0.94563,0.00109,0.00109,0.00109
29,2802.16,1.09736,1.5569,0.95469,0.51436,0.3481,0.37346,0.26579,1.10698,1.67533,0.9435,0.00076,0.00076,0.00076
30,2897.6,1.09726,1.54153,0.94741,0.5164,0.34427,0.38059,0.27276,1.10002,1.63315,0.94262,0.00043,0.00043,0.00043
